Dialogue;Mood;Sport;Glucose;Glucose_binary;Insulin;Insulin_dose;Bad_food;Remedies_low_glucose_level;Remedies_high_glucose_level;Glucose_checks;Symptoms_low_blood_sugar;Symptoms_high_blood_sugar;Risk_situation;Good_food;All_together;;;;;;;;;;;
 <SOS> what are you doing right now ? <SOS> i just finished cooking the lunch for today . what did you prepare ? i cooked a whole turkey in the oven with some potatoes . it sounds delicious . i assume you are not gonna eat a whole turkey alone ? of course not i am inviting my family for lunch . i hope you have a wonderful lunch . don t forget to inject a correct dose of insulin potatoes have a lot of carbohydrates . yes i already thought about that so i will increase my insulin dose today . fantastic . don t forget to measure your blood glucose level one hour and a half after your lunch . i will set an alarm so i don t forget about that . my family is coming so i have to leave you now . enjoy your lunch with your family . <EOS> .;;;;;;don t forget to inject a correct dose of insulin potatoes have a lot of carbohydrates .;i cooked a whole turkey in the oven with some potatoes .;;;don t forget to measure your blood glucose level one hour and a half after your lunch . ;;;potatoes have a lot of carbohydrates;;    don t forget to inject a correct dose of insulin potatoes have a lot of carbohydrates . i cooked a whole turkey in the oven with some potatoes .  don t forget to measure your blood glucose level one hour and a half after your lunch .   ;;;;;;;;;;;
<SOS> how are you ? everything fine . and you ? i m very tired today . what did you do ? i worked all day in a storehouse packing material and moving boxes . wow it seems you had an exhausting day . could you control your glucose fine ? i measured my glucose before lunch and i was quite good at 85 . however i didn t check it again since then . you should check it again now you did a lot of exercise . what did you eat for lunch ? i had a salad and a steak with potatoes and i injected 5 units of fast action insulin . you should check your glucose level again now maybe you didn t eat enough carbohydrates . it seems i didn t i am at 46 now . what should i eat ? since no fast action insulin is acting now you should improve only by having 5 g of sugar or 200 cl of juice with sugar . ok i will go to eat now . see <EOS> .; i m very tired today . ;;i am at 46 now .;low;;i injected 5 units of fast action insulin .;i had a salad and a steak with potatoes;having 5 g of sugar or 200 cl of juice with sugar .;;you should check it again now you did a lot of exercise . you should check your glucose level again now maybe you didn t eat enough carbohydrates .;;;didn't eat enough carbohydrates;;i m very tired today .   i am at 46 now .  i injected 5 units of fast action insulin . i had a salad and a steak with potatoes having 5 g of sugar or 200 cl of juice with sugar . you should check it again now you did a lot of exercise . you should check your glucose level again now maybe you didn t eat enough carbohydrates .;;;;;;;;;;;
<SOS> how is your day going ? not bad and yours ? i m also fine but somehow i don t feel quite well . oh i m sorry . why is that ? because no matter how much water i drink i still feel thirsty . that is a common symptom of having a high blood glucose level . have you checked it ? no i didn t check it . i actually drank a beer one hour ago could this be affecting my glucose ? yes that beer is definitely the cause for your thirst . however you should check your glucose . ok i did check it and i was at 320 quite high . i m gonna put some fast action insulin to be good again . yes but measure your insulin dose carefully or you may get down on blood glucose . i have injected 7 units of insulin . i hope the thirst disappears soon . i m sure it will . think about this the next time you drink a beer . sure i will thanks for your help . you re welcome you can contact me anytime you feel like this . see <EOS> <EOS> .;;;i was at 320 quite high .;high;;i m gonna put some fast action insulin to be good again . yes but measure your insulin dose carefully or you may get down on blood glucose . i have injected 7 units of insulin .;i actually drank a beer one hour ago could this be affecting my glucose ? yes that beer is definitely the cause for your thirst .;;;;;because no matter how much water i drink i still feel thirsty . that is a common symptom of having a high blood glucose level .;that beer is definitely the cause for your thirst;;i was at 320 quite high .  i m gonna put some fast action insulin to be good again . yes but measure your insulin dose carefully or you may get down on blood glucose . i have injected 7 units of insulin . i actually drank a beer one hour ago could this be affecting my glucose ? yes that beer is definitely the cause for your thirst .    because no matter how much water i drink i still feel thirsty . that is a common symptom of having a high blood glucose level .;;;;;;;;;;;
<SOS> how are you feeling today ? my head is a bit dizzy . i think my glucose is low . i think so too you should eat something to raise your glucose . i was thinking about eating some cheese . cheese is tasty but it s not the best thing for you right now . you have to eat a bit of sugar or a juice . ok but i really want to eat cheese . then you should eat the cheese with some bread it will also help to raise your glucose . i will do that . but first you should drink a juice it will make you feel better . ok i will drink a juice and eat bread with cheese . right but be careful with the bread too much could raise your glucose too much . i will only have a slice of bread . perfect enjoy your food . thank you <EOS> .;;;;;;;; i think so too you should eat something to raise your glucose .  you have to eat a bit of sugar or a juice . then you should eat the cheese with some bread it will also help to raise your glucose . ;;;my head is a bit dizzy . i think my glucose is low .;;;;       i think so too you should eat something to raise your glucose .  you have to eat a bit of sugar or a juice . then you should eat the cheese with some bread it will also help to raise your glucose .   my head is a bit dizzy . i think my glucose is low . ;;;;;;;;;;;
<SOS> how are you ? i m fine and you ? also fine . what are you doing ? i have just finished cooking my dinner . what did you cook for dinner ? i grilled chicken breast and also cooked some rice . that sounds good but do you know that rice has a lot of carbohydrates ? yes i do so i will inject a higher than usual dose of insulin . great but don t forget to measure your blood glucose level one hour and a half after your insulin injection . i will measure it because last time i didn t do it and my glucose rose higher than i wanted . you have to be careful with some food like potatoes rice or pasta . yes . i will leave now my chicken will cool if i wait more . okay enjoy your dinner . talk to you tomorrow . ok <EOS> .;;;i will measure it because last time i didn t do it and my glucose rose higher than i wanted .;high;;i will inject a higher than usual dose of insulin .;i grilled chicken breast and also cooked some rice . do you know that rice has a lot of carbohydrates ? you have to be careful with some food like potatoes rice or pasta . ;;;measure your blood glucose level one hour and a half after your insulin injection .;;;rice has a lot of carbohydrates;;  i will measure it because last time i didn t do it and my glucose rose higher than i wanted .  i will inject a higher than usual dose of insulin . i grilled chicken breast and also cooked some rice . do you know that rice has a lot of carbohydrates ? you have to be careful with some food like potatoes rice or pasta .   measure your blood glucose level one hour and a half after your insulin injection .  ;;;;;;;;;;;
<SOS> how are you ? i m great and you ? quite bad my blood glucose is really high . you should inject insulin to reduce your blood glucose . i know but i m going to a football match now and i don t want to have a low glucose level during the match . but if you don t inject insulin it is possible that you have a high glucose for a long time and you won t feel good . ok then what should i do ? you should speak with your doctor to be certain on what to do . yes i will speak with him and try to improve my blood glucose level . i hope you win your football match . i hope so too . see <EOS> .;quite bad;football match;my blood glucose is really high .;high;you should inject insulin to reduce your blood glucose . ;;;;;;;;;;quite bad football match my blood glucose is really high . you should inject insulin to reduce your blood glucose .       ;;;;;;;;;;;
<SOS> <SOS> what s up ? i m very nervous . what about you ? i m fine . why are you so nervous ? i have a very important exam this afternoon and i cannot fail . have you studied for your exam ? yes i have studied but i haven t been able to control my glucose lately . i fear to be low during my exam . how is your blood glucose level now ? it is good 92 . but i don t know if it will reduce until my exam . maybe you could eat something with low carbohydrates amount to raise a little bit your blood glucose . yes i want to do that but i don t know what to eat . maybe a small biscuit or some fruit no more than 5g of carbohydrates . great i will eat a small banana then . enjoy your banana and good luck on your exam . thank you see <EOS> .;;;it is good 92 .;good;;;;maybe you could eat something with low carbohydrates amount to raise a little bit your blood glucose . maybe a small biscuit or some fruit no more than 5g of carbohydrates . great i will eat a small banana then .;;;;;;;it is good 92 .    maybe you could eat something with low carbohydrates amount to raise a little bit your blood glucose . maybe a small biscuit or some fruit no more than 5g of carbohydrates . great i will eat a small banana then .;;;;;;;;;;;
later . <SOS> <SOS> how are you feeling today ? great and you ? i feel horrible today . yesterday i had a big party and today i have hangover . if you feel really bad you could take an ibuprofen . how was your party ? it was great we played some drinking games ate some pizzas and danced till the morning . it sounds amazing . did you check your glucose during the party ? no i checked it before going to bed and i was quite high so i had to inject insulin . and what was your glucose level when you woke up ? i was still high but i should be fine . did you inject your slow action insulin ? i should have but i don t really remember if i injected during the party . that could explain why you woke up high . you should speak with your doctor to know what you should do . yes i will . at least this will make my hangover better . definitely . i hope you get better soon . thanks talk to <EOS> .;i feel horrible today .;;i was quite high.;high;i was quite high so i had to inject insulin .;;; eat a banana;;;;;;;i feel horrible today .  i was quite high. i was quite high so i had to inject insulin .    eat a banana   ;;;;;;;;;;;
<SOS> how are you ? <SOS> i m good . what did you do today ? i went to the gym . did the sport affect your glucose ? yes my sugar level was low after  . did you inject too much insulin ? no i didn't eat enough . next time eat a banana . yes i will . <EOS> .;good;gym;my sugar level was low;low;;;;;;;;;i didn't eat enough;;;;;;;;;;;;;
hi, how are you doing ? i'm fine . How are your glucose levels ? I am a little high . Oh! Have you eaten any carbohydrates? Yes , I ate pizza last night . That's de reason of your spike of glucose. Try to inject some fast action insulin. Yes, I will do it. Thanks. ;i m fine;;i am a little high;high;try to inject some insulin;;pizza;;;;;;I ate pizza last night;;;;;;;;;;;;;
hi, how are you doing ? i'm okay but my glucose levels are a little low . What do you feel ? I have dizziness and sweet creavings . You should drink a soda to elevate the glucose . Yes, you are right . I will . Thank you .;i m okay;;my glucose levels are a little low;low;;;;drink a soda;;; I have dizziness and sweet creavings;;;;;;;;;;;;;;;
hi, how are you doing ? I could be better . Why ? How are your glucose levels ? I am very high .  I urinate a lot and I am very thirsty . Be careful and inject your insulin . You should go do some exercise as well . Okay, I will go swimming . Thanks . Talk to you later .;i could be better;swimming;i am very high;high;inject some insulin;;;;;;;I urinate a lot and I am very thirsty;;;;;;;;;;;;;;
hi, how are you doing ? i'm bad , I feel tired and I cannot concentrate . Maybe you have low blood sugar , how are your glucose levels ? I am very low .  That explain your symptoms . Eat some sugar , maybe a banana or a fructose pill . Remember to drink some water as well . Yes , I will . I have to go , I don't feel good . Ok , be careful .;i'm bad;;i am very low;low;;;;Eat some sugar , maybe a banana or a fructose pil;;;I feel tired and I cannot concentrate;;;;;;;;;;;;;;;
hi, how are you doing ? i m fine . i haven t been better. How are your glucose levels ? I am low because yesterday i did a lot of exercise. How so ? What did you do ? I went skiing and after I went for a walk in the mountain . Oh! That's awesome ! Did you modify your insulin dose ? No , I think that is why I am low today . Yes , maybe you shoud drink a juice . I don't like juice . How about a snack ? Yes , it will work too . Eat some carbohydrates as a slice of bread or a little bit of pasta . Ok , that will be ok . Thank you , talk to you later .; i m fine . i haven t been better;skiing , walk in the mountain;I am low;low;;Did you modify your insulin dose ? No;;drink a juice .  Eat some carbohydrates as a slice of bread or a little bit of pasta;;;;;lot of exercise;;;;;;;;;;;;;
hi, how are you doing ? i'm fine but my glucose levels are high . What did you do yesterday ? Nothing , I was in bed all day because of a headache . The lack of exercise could be the reason of your glucose spike . What did you ate ? A salad with some chicken . That's ok. Try to do some exercise today . Yes , I am going for a walt around the park . Ok , have a nice day .;i m fine;a walk around the park ;my glucose levels are high;high;;;;;;;;;The lack of exercise could be the reason of your glucose spike;;;;;;;;;;;;;
hi, how are you doing ? i'm fine . Yesterday I had a really important exam.  And how was it ? Good ! I think I'll pass. Great ! And how are your glucose levels? They are really high . The stress of your exam could be the reason . Did you change your lifestyle ? Yes, I ate more bad snacks than usual . What did you ate ? Chocolate ice cream and some cookies . You know that's not right . You should inject an extra dose of insulin and do some exercise . Yes , I will inject some insulin and this afternoon I will go for a walk . ;i m fine;;they are really high;high;;;Chocolate ice cream and some cookies;;You should inject an extra dose of insulin and do some exercise;;;;The stress of your exam could be the reason;;;;;;;;;;;;;
hi, how are you doing ? i haven't been better. I am on holidays . Oh ! Thats great . How is your blood glucose? It is quite high . Did you ate something unusual ? Yes , I had a pizza last night and some wine . But today I am going to do lots of exercise . Ok! But be careful and remember having some sugar in case of a drop of your glucose levels . Yes ! I always have some candy with me . ;i haven't been better .;;It is quite high;high;;;I had a pizza last night and some wine;;;;;;;;;;;;;;;;;;;
hi, how are you doing ? i'm ok . How is your blood glucose? It is bit high . I had a family lunch this morning and I ate fried eggs with french fries . That are lots of fats and carbohydrates . Yes , I know . What should I do ? You should take some fast action insulin and drink lots of water . Maybe you should avoid eating sugar for the rest of the day . Ok ! Thank you . Remember to check your glucose in 2 hours . Ok . Talk to you later .;i m ok;;It is bit high ;high;;;fried eggs with french fries;;You should take some fast action insulin and drink lots of water;Remember to check your glucose in 2 hours;;;lots of fats and carbohydrates;;;;;;;;;;;;;
hi, how are you doing ? i'm fine . i haven't been better . How is your blood glucose? It is bit low . Have you tried eating any snack ? Yes , I just ate a toast with cheese . Ok , that shoud improve your levels . Yes , but i don't want to have a glucose spike . Don't worry , check your glucose levels in two hours . Ok . Thanks . Bye .;i'm fine . i haven't been better .;;It is a bit low;low;;;;I just ate a toast with cheese ;;check your glucose levels in two hours ;;;;;;;;;;;;;;;;
hi, how are you ? i'm fine . i haven't been better. I just finish college . Congratulations ! How are your glucose levels ? I am a little high . Did you eat something bizarre ? Maybe, I just had some grapes . Oh! Grapes have lots of sugar . I didn't know. Don't worry, walk an hour and it should go down . Ok , I m going to leave now . ;i'm fine ;walk an hour;I am a little high ;high;;;I just had some grapes;;walk an hour;;;;Grapes have lots of sugar;;;;;;;;;;;;;
hi, how are you ? i'm fine . i haven't been better. How are your glucose levels ? I am a little low. I didn't eat much this morning. Don't worry, drink a juice or a soda and it will improve . You could eat watermelon or figs as well. Ok , i am going to eat now . Thanks . ;i'm fine . i haven't been better .;;I am a little low;low;;;;drink a juice or a soda and it will improve . You could eat watermelon or figs;;;;;;;;;;;;;;;;;;
hi, how are you ? i'm fine . i haven't been better. How are your glucose levels ? I am very high . Be careful! This could be dangerous . Inject an extra insulin dose now and you should feel better . Ok, thanks. ;i'm fine . i haven't been better .;;i am very high;high;;Inject an extra insulin dose;;;;;;;;;;;;;;;;;;;;
hi, how are you ? i'm fine . i haven't been better. How are your glucose levels ? I am very low . How do you know ? I had vision disturbances and cold sweat and when I checked my glucose levels were very low . I ate some sweets and i think it will improve . Check your glucose levels in an hour . Yes ! And what will you do during the morning ? I have to study . Will you do some exercise ? Yes , I will play a paddle match . Thanks . ;i'm fine . i haven't been better .;play a paddle match;my glucose levels were very low;low;;;;I ate some sweets;;Check your glucose levels in an hour ;I had vision disturbances and cold sweat;;;;;;;;;;;;;;;
hi, how are you ? I don't feel good , i'm exhausted and i feel my legs heavy . Did you do something unusual to be this tired ? No, I did the same as usual . Maybe you have low blood sugar, did you checked it? I did it just now,  I have a low glucose level . That explains how you feel. Eat 5g of sugar and you will feel better . Ok . Thanks .;I don't feel good ;;I have a low glucose level;low;;;;Eat 5g of sugar;;;i m exhausted and i feel my legs heavy;;;;;;;;;;;;;;;
hi, how are you ? i'm fine but my glucose levels are high . You shoud go do some exercise . Yes , I will go to the gym to do some strength exercises . Oh ! That's great . Be careful and have some sugar with you in case you feel dizziness. Yes ! i have a banana . Ok ! Enjoy your training . Thanks . Talk to you later .;i'm fine;gym to do some stregth exercises;my glucose levels are high;high;;;;;;;;;;;;;;;;;;;;;;
hi, how are you ? I don't feel fine . I feel my mouth dry . Did you check your blood glucose? Yes,  it is really high . ;i don't feel fine;;it is really high;high;;;;;;;;I feel my mouth dry;;;;;;;;;;;;;;
hi, how are you ? i'm not doing fine . I urinate a lot recently . It may be your glucose level, did you check it ? My glucose level is quite high . Did you try injecting an extra dose of insulin ? No , but i will now . Thanks . If it continues being high , you should talk to your doctor . Ok , I will .;i'm not doing fine;;my glucose level is quite high .;high;;;;;;;;I urinate a lot recently;;;;;;;;;;;;;;
hi, how are you ? i'm fine . i haven't been better. How is your blood glucose? It is bit high . Maybe you should do some exercise . I do a yoga class three times a week . Yoga is great but it didn't improve your glucose levels a lot . Ok , i'll take a walk everyday . Ok . Very good . I have to leave . Thanks for your advice . ;i'm fine . i haven't been better .;yoga class three times a week , walk;it is a bit high;high;;;;;;;;;;;;;;;;;;;;;;
hi, how are you ? i'm ok. How is your blood glucose? It is bit low . Yesterday i did a lot of exercise and i didn't take it into account when i calculated my insulin dose . Don't worry , you can eat some grapes or drink a juice . I just did it . Ok , check your blood sugar in about an hour or an hour and a half . Ok , I will .  ;i'm ok;;It is bit low;low;;Yesterday i did a lot of exercise and i didn't take it into account when i calculated my insulin dose ;;you can eat some grapes or drink a juice;;check your blood sugar in about an hour or an hour and a half;;;i did a lot of exercise and i didn't take it into account when i calculated my insulin dose;;;;;;;;;;;;;
hi, what s up ? i'm great. I had a date last night . Great ! And what did you do ? We went to the cinema and we ate lots of sweet popcorn . Then we went dancing to a night club . Did you inject your insulin ? Yes, yesterday night I was ok . And how are your glucose levels now? I am a little high . Maybe your insulin dose wasn't right . Try to do some exercise today . Ok , I will go hiking . Talk to you tomorrow . ;i'm great;dancing , hiking;I am a little high .;high;;;we ate lots of sweet popcorn;;;;;;;;;;;;;;;;;;;
hi, what's up ? i'm fine but i have sweet cravings . I can't stop thinking about cookies . That might be an indicator of a low blood sugar . How are your glucose levels ? I am a little low. So you shoud eat some sugar and I hope that the sweet cravings will disapear. Ok . Thanks for your advice . ;i'm fine;;I am a little low;low;;;;eat some sugar;;;i have sweet cravings;;;;;;;;;;;;;;;
