Dialogue,Mood,Sport,Glucose,Glucose_binary,Insulin,Insulin_dose,Bad_food,Remedies_low_glucose_level,Remedies_high_glucose_level,Glucose_checks,Symptoms_low_blood_sugar,Symptoms_high_blood_sugar,Risk_situation,Good_food
"Hello. Hi, how are you? I'm okay, but I don't have the necessary insulin and my blood sugar is high. Sorry to hear that. No problem, what do you recommend me? I think the best for you is going some sport. Perfect, I have a tennis match in half an hour. That's great! It should reduce your blood sugar. Good luck in your game. Thank you!",I am okay,tennis match,my blood sugar is high,high,,I didn't take the necessary insulin,,,going do some sport,,,,I didn't take the necessary insulin,
"Hello. Hello! How are you? I'm sad. I'm new in this diabetic world and I'm afraid. Oh! I hope I can help you. Sure! I have a question. My glucose is very high. What are the best foods for controlling my glucose levels? You can eat blue fish or chicken, also some vegetables as well, they help control diabetes. Oh! Thank you. You are awesome. Thank you! Bye bye.",I am sad,,My glucose is very high,high,,,,,,,,,,"blue fish or chicken , also some vegetables"
"Hi, I can't sleep. Sorry to hear that. Have you checked your glucose levels? Yes, I'm pretty low. Drink water sugar. It will definitely help you.Thanks for the tip. Good night. Bye.",,,I am pretty low,low,,,,Drink water sugar,,,I can't sleep,,,
"Hey! It's been some time since the last time. How have you been? I had a lot of work and I was very stressed out. Have you got your glucose levels? I've tried, but I'm still a little low. I feel exhausted. That could be a symptom of your low glucose levels. You could have a homemade cake and eat a little bit daily until your glucose levels are controlled. Good idea! I'll bake a cake. Also it will help me relax. That's right! Have fun. Thank you, too. Bye.",i was very stressed,,i am still a little low,low,,,,do a homemade cake and eat a little piece everyday,,,i feel exhausted,,,
"Hello. Hello! How are you? I'm not okay, this morning I don't really expect the right amount of carbohydrates I've eaten. And how are your glucose levels? They've been low since this morning and I feel loss of direction. Don't worry, if you eat carbohydrates, you should feel better. Ok, how much should I eat? I think that with one or two slices of bread, it will be fine. Thank you.",i am not okay,,they are low,low,,,,"eat some carbohydrates, one or two bread slices",,,i feel loss of direction,,I do not correctly calculate the right amount of carbohydrates I ate,
"Hello, I need advice. I feel okay, but I just eat too much sugar... it was my little sisters' birthday and I didn't realize. What should I do? First check your glucose thirty minutes after your recording. It's been thirty minutes. Ok. How are your levels? I'm a little high. Ok, check these levels. If they increase too much, inject some quick action insulin. Also, go for a walk. It will help. Thank you. Anytime. Have a nice day.",I feel okay,,I am a little high,high,,,,," inject some fast action insulin . Also , go for a walk",check your glucose thirty minutes after your intake,,,eat too much sugar,
"Hello, how are you? I'm fine, but my glucose levels are high. You should go some exercise. Yes, I'll go to the gym to do some strength exercises. Oh! That's great. Be careful and have some sugar with you in case you feel dizziness. Yes! I have a banana. Ok! Enjoy your workout. Thank you. Talk later.",i'm fine,gym to do some stregth exercises,my glucose levels are high,high,,,,,,,,,,
"Hello, how are you? I'm okay, but my glucose levels are a little low. What do you feel? I have dizziness and sweet cracks. You should drink a soda to increase the glucose. Yes, you are right. I will. Thank you.",i m okay,,my glucose levels are a little low,low,,,,drink a soda,,, I have dizziness and sweet creavings,,,
"Good morning. I don't feel okay. What did you do? My stomach is very bloated. Have you checked your glucose levels? Yes, I am a little high. Do you drink some water? Yes, I have. I think it will help. What was the last meal you ate? It was a fat lunch, I ate some burgers with fried potatoes. Oh! You should also correct the intake of the following meal. Ok, I will. Thanks for your advice. You are welcome.",I don't feel okay ,,I am a little high,high,,,burguers with fried potatoes,,correct the intake of the following meal,,,My stomach is very bloated,fatty lunch,
"Hello. How are you? I'm fine. Well, your glucose levels are now controlled? Not much, I'm a bit high, but I don't know what to do. You should go some exercise. I can't, I have a leg injury. Ok, don't worry. Maybe you should eat some slow-absorbing carbohydrates. Could you give me an example? Yes, quinoa, carrots or red lentils are good options. Okay! Thanks, I'll try a quinoa salad. Good. Thanks!",I am fine,,I am a bit high,high,,,,, eat some slow-absorbing carbohydrates,,,,,"quinoa , carrots or red lentils are good options"
"Hi, how are you? I'm fine. Yesterday I had a really important exam. And how was it? Well! I think I'll happen. Great! And how are your glucose levels? They're really high. The stress of your exam could be the reason. Have you changed your lifestyle? Yes, I've eaten more bad snacks than usual. What have you eaten? Chocolate ice cream and some cookies. You know that's not right. You should inject an additional dose of insulin and make some exercise. Yes, I'll inject some insulin and this afternoon I'll go for a walk.",i m fine,,they are really high,high,,,Chocolate ice cream and some cookies,,You should inject an extra dose of insulin and do some exercise,,,,The stress of your exam could be the reason,
"<SOS> how are you? i m tall and you? pretty bad my blood sugar is really high. You should inject insulin to reduce your blood sugar. I know, but I'm going to a football game now and I don't want to have a low glucose level during the game. but if you don't inject insulin, it's possible that you have a high glucose for a long time and you won't feel good. ok then what should I do? You should talk to your doctor to be sure what to do. yes I'll talk to him and try to improve my blood sugar. I hope you win your football game. I hope so. see <EOS>.",quite bad,football match,my blood glucose is really high .,high,you should inject insulin to reduce your blood glucose . ,,,,,,,,,
"How are you? I'm happy. What do you have today? I had a paddle train. Do you usually play paddles? Yes, four times a week. That's cool. It helps to control your glucose levels? Yes! It helps. How are your glucose levels today? My blood sugar is ok. I'm happy. Great! Keep up. Yes! Speak later.",I am happy,paddle,My blood sugar is ok ,ok,,,,,,,,,,
"Hello. Hey! How are you? Not well... I'm very tired. Have you slept well last close? Yes, I slept eight whole hours. So, maybe you're sleepy because of your glucose levels. I'm a little low... could it be the reason? definitely yes. You should drink a soda and you'll feel better. Ok! Thank you! Talk later.",not well,,i am a little bit low,low,,,,drink a soda,,,i am very sleepy,,,
"Hello! How are you? I don't feel well. Why? I was at a birthday party and I ate a piece of cake. Now I'm very thirsty all the time and I need to pee a lot. Have you checked your glucose levels? Yes, I'm very high. Oh... have you done something? Not yet. What should I do? You can administer some quick action insulin. I'm sure you'll be better after.",I don't feel good,,I am very high,high,,,cake,,I am very thirsty all the time and I have to pee a lot,,,administrate some fast action insulin,,
"Hello, how do you feel? I'm very good! How are your glucose levels? My blood sugar is fine. Perfect! I'm hungry! What should I eat? You should do some popcorn. It's a very healthy snack when it's homemade. Oh! I didn't know. I'm going to eat this now. Thanks. No problem. Have a nice day.",I am very good,,My blood sugar is okay,okay,,,,,,,,,,popcorn
"How do you feel today? <SOS> I don't feel right. How come? I think I have a virus and I have abdominal pain. Does this affect your glucose levels? yes I think so. my glucose is abnormally high as my stomach began to hurt. this is normal, you should increase your insulin doses until you get better. all right I hope this will help me have better glucose control. anyway, it should improve after you heal from the stomach pain. I hope I will heal soon. I hope so. <EOS>.", i am not feeling right .,,my glucose is abnormally high,high,,this is normal you should rise your insulin doses until you get better .,,,,,,,i got a virus and i have stomachache,
"Hello, I feel bad. What have you got? I have swelling. Have you eaten something bad for lunch? No, but I think I'll take over. I feel bad. Have you checked your glucose levels? Yes, I'm a bit high. Okay, maybe you should change your next insulin dose accordingly what you ate. Yes, I'll do it. Thanks.",I feel bad,,I am a bit high,high,,,,,modify your next insulin dose according to what have you ate,,,I have swelling,overate,
"HI! I need your help. I don't know what to do. I always have my glucose levels high before my menstruation. Oh... I'm sorry to hear... I think you should talk to your doctor for adjusting the insulin dose during these days. Ok, I think this is the best option as I'm not able to control it alone. Thank you for your advice. Anytime. Bye.",,,my glucose levels high,high,,talk to your doctor for adjustate the insulin dose during those days,,,talk to your doctor for adjustate the insulin dose during those days,,,,menstruation,
"Good night. I need help. I don't feel good. I have difficulty expressing myself, could it be related to my glucose level? Maybe, have you checked it? Yes, I'm low. You shoud eat fruits with plenty of sugar than watermelon, figs or grapes. If you don't feel better, you shoud talk to your doctor. Thank you for the advice. You are welcome. Bye bye.",i don't feel good,,i am low,low,,,,"eat fruits with lots of sugar and watemelon, figs or grapes",,,i have difficulties in expressing myself,,,
"Hello. How are you? I'm not good at the moment. Why is that? I ate a few pastries this morning and now I feel sleepy. Could it be because of my bloodsucker? Yes, you should check your levels. You're right. My glucose levels are high. What should I do? You should go for a walk. Ok, I'll go now. Perfect, be careful if your blood sugar drops. Ok, thank you for your help. You're welcome. Bye.",I am not doing well right now,walk,My glucose levels are high,high,,,pastries,,go for a walk,,,I feel sleepy,I ate a few pastries,
"Hey! Oh, it's late... are you okay? I don't feel good and I'm not able to sleep. Have you checked your glucose levels? Yes, I'm very low. Oh, did you have something? Yes, I drank a lot of water. Maybe that wasn't enough. Drink a juice or a soda. That could help. Ok. Thank you. Talk to me if it wasn't. I'll. Thank you.",I don't feel good,,I am very low,low,,,,Drink a juice or a soda,,,I am unable to sleep,,,
"Hey, how are you? I'm fine, but I'm hungry! How are your glucose levels? My blood sugar is fine. Do you need some snack ideas? Yes, please! You should do some oatmeal cookies. You'll love them. Oh! I'll try them now. Thank you for the tip. Your welcome.",I am fine,,My blood sugar is okay ,okay,,,,,,,,,,oatmeal cookies
"Hello there. How have you been? I'm good, thank you. What's new? In the last few days I have a lack of visual acuity... Do you think I should visit the ophthalmologist? Have you checked your glucose levels? I've just seen my glucose levels are very low. That should explain your lack of visual acuity. Try to eat something sweet and if it doesn't improve, go talk to your doctors. Thanks for listening to me. At any time. Bye.",I am good,,are very low,low,,,,eat something sweet,,,I have a lack of visual acuity,,,
"Hello there. Good morning! How are you? I'm a little sleepy, even if I just wake up after a 9 hours of sleep. Have you eaten anything yet? Not yet. Have you checked your glucose levels? Right now. I'm high. That explains your sleep. Go for a walk. It will help. Thank you, you always have the right answer.",,walk,I am high,high,,,,,Go for a walk,,,I am a little sleepy,,
"Good night. It's very late, what do you do awake? I'm not able to sleep. I've tried for three long hours. Are you stressed about everything? No, everything in my life is great now. Maybe you should check your glucose levels. Ok, I only have and I'm very low. That could explain your sleep shortage. Try to eat 5g sugar and also eat something sweet every day before you sleep. Ok, I'll. Thanks.",,,i am very low,low,,,,eat 5g of sugar and also eat something sweet everyday,,,I am not able to sleep,,,
"Hi, how are you? I'm okay. How is your blood sugar? It's a little high. I had a family lunch this morning and I ate fried eggs with fries. That's a lot of fats and carbohydrates. Yes, I know. What should I do? You should do some quick action insulin and drink plenty of water. Maybe you should avoid eating sugar for the rest of the day. Ok! Thank you. Remember to check your glucose in 2 hours. Ok. Talk later.",i m ok,,It is bit high ,high,,,fried eggs with french fries,,You should take some fast action insulin and drink lots of water,Remember to check your glucose in 2 hours ,,,lots of fats and carbohydrates,
"<SOS> Are you awake? yes I am. what's the matter? I just woke up in the middle of the night and I can't sleep again. did you check your glucose level? I didn't think I'd check it now. okay I'll wait here. my blood sugar level is 56, so I'm a little low. You should eat 5g sugar or a fast-acting glucose like a fruit juice. yes I'll eat something now. how did you think about the blood sugar level? if you wake up in the middle of the night and you can't sleep, although you're tired because your body isn't okay. nice to know. next time I'll check my glucose for sure. big but be careful. You can eat something else. yes I'll also eat a banana. thanks. you come back. <SOS>.",,,my blood glucose level is 56 so i am a bit low .,low,,,,you should eat 5g of sugar or a fast acting glucose like a fruit juice . i will also eat a banana .,,,,,,
"Hello, how are you? I'm fine. I wasn't better. How are your glucose levels? I'm very high. Be careful! This could be dangerous. Inject an additional insulin dose now and you should feel better. Ok, thank you.",i'm fine . i haven't been better .,,i am very high,high,,Inject an extra insulin dose,,,,,,,,
"Hello. Can I ask you a question? Yes, of course. I don't feel okay. I have a metallic taste in my mouth and my glucose levels are high. Are both things related? Yes, I think so. It's a symptom of a tip of blood sugar. What should I do? You should inject more insulin. Ok, thank you. You are welcome. Good night. Bye.",I don't feel okay,,my levels of glucose are high,high,,,,,inject more insulin,,,I have a metallic taste in the mouth ,,
"Hi, how are you? I'm okay. How's your blood sugar? It's a little low. Yesterday I did a lot of exercise and I didn't consider it when I calculated my insulin dose. Don't worry, you can eat some grapes or drink a juice. I just did it. Ok, check your blood sugar in about an hour or an hour and a half. Okay, I'll.",i'm ok,,It is bit low,low,,Yesterday i did a lot of exercise and i didn't take it into account when i calculated my insulin dose ,,you can eat some grapes or drink a juice,,check your blood sugar in about an hour or an hour and a half,,,i did a lot of exercise and i didn't take it into account when i calculated my insulin dose,
"Hello. How do you feel? I'm not good. I feel dizzy today. How are your glucose levels? I'm a little low today. What did you eat? I just ate a salad and some blueberries. Oh! No carbohydrates. Have you corrected your insulin dose according to carbohydrate intake? No. Then that's why your blood sugar is high. You should eat some bread. You'll feel better then. Okay, thank you for the tip. You're welcome. Talk later. Right. See you then.",I am not good,,I am a little low,low,,Did you correct your insulin dose according to the carbohydrates intake ? No,,You should eat some bread ,,,I feel dizzy,,,
"Hey! How are you? I feel okay. That's cool! What did you do today? I went to the gym to do some exercise. Very good! Have you eaten carbohydrates after your exercise? No, I haven't. Maybe you should. Your glucose level might fall after the exercise. Yes, I just checked and my blood sugar is a little low. Don't worry, eat something and it will improve. Ok, I'll. Thanks. Talk later.",i feel alright,gym to do some exercise,is a little low,low,,,,eat something,,,,,,
Good evening. I feel bad. Why is that? I ate pasta for lunch and I took more carbohydrates than calculated. Do you have any symptoms? I feel thirsty. Check your glucose levels. I already have and my glucose levels are a little high. Oh! I think you should inject insulin before your next meal. Thanks for the tip. Anytime. Bye bye.,I feel bad,,my glucose levels are a little high,high,,,pasta,,inject insulin before your next meal ,,,,more carbohydrates than calculated,
"Hi, what's going on? I'm okay, but my blood sugar is a little high. Why is that? I have a hamburger with fries for lunch. That's not okay for your sugar. Have you set your insulin levels? Yes, but I don't think I did it right. Don't worry, try to move and check it later. Ok, I've got my crossfit class now. Perfect timing. Yes, I have to go. Ok. Good afternoon.",I'm okay,crossfit class,my blood sugar is a bit high,high,,,I ate a hamburger with french fries,,,,,,I ate a hamburger with french fries for lunch,
"Hello! How are you? I'm not okay, I measured my glucose and I'm very high. What did you eat today? I didn't eat breakfast and I have several juices. Okay... I understand why you are high. Don't worry. What do you recommend? You should inject some extra insulin. And next time you should eat something. Ok! Thank you for the advice.",I am not fine,,I am very high,high,,,juices,, inject some extra insulin . And next time you should eat something,,,,I have not had breakfast,
"Hello, how do you feel? I'm pretty good. How are your glucose levels? They're a little high. Oh... that's not right. They're going to shy for a walk, it's going to help you. Okay, I'll. I have to go. Okay, take care. You too.",I am preety good,walk,My glucose is okay now,okay,,,,,,,,,,
"Hi, how are you? I'm fine. I wasn't better. How's your blood sugar? It's a little high. Maybe you should do some exercise. I'm doing a yoga class three times a week. Yoga is great, but it hasn't improved your glucose levels a lot. Ok, I'll take a walk every day. Ok. Very good. I have to go. Thank you for your advice.",i'm fine . i haven't been better .,"yoga class three times a week , walk",it is a bit high,high,,,,,,,,,,
"Hello. How are you? I don't feel well. What did you do? I have general malaise and even I feel nausea. When did it start? I ate a lot during lunch. There was a lot of food and I was very hungry... Maybe your glucose levels are high. Yes, they are high. Have you injected an additional dose of insulin. Not yet. Okay, maybe you should. Thanks for listening to me. No problem.",I am not feeling well,,they are high,high,,,,,inject an extra dose of insulin,,, have general malaise and even I feel nausea, ate a lot during lunch,
"Hello, I don't feel okay. I'm very thirsty and I have my mouth dry. These are symptoms of high glucose levels. Have you checked them? I'm high. That's it. You should inject some insulin. You'll feel better. Ok. Thank you. Goodbye.",I don't feel ok,,I am high,high,,,,,inject some insulin,,,I am very thirsty and I have my mouth dry,,
"Hello, how are you? I'm bad, I feel tired and I can't concentrate. Maybe you have low blood sugar, how are your glucose levels? I'm very low. That explains your symptoms. Eat some sugar, maybe a banana or a fructose pill. Remember to drink some water as well. Yes, I'll. I have to go, I don't feel well. Ok, be careful.",i'm bad,,i am very low,low,,,,"Eat some sugar , maybe a banana or a fructose pil",,,I feel tired and I cannot concentrate,,,
"Hello. How do you feel today? I feel good. Great! How are your glucose levels today? I'm a little high today. And do you have any symptoms? No, I just go pipi more often than usual. And why do you think the glucose tip happens? Maybe it was because yesterday I took more carbohydrate intake than calculated for the insulin dose. Yes... I'm sure that was the reason. Try to correct the intake for the next meal. Ok, I'll. Thanks. Have a nice day.",I am feeling good,,I am a little high today,high,,,,,correct the intake for the next meal,,,pee more often than usual,took more carbohydrate intake than calculated for the insulin dose,
"Hey, I need some help. Okay, how do you feel? I'm okay, but I have a faded feeling... Have you checked your blood sugar? Yes, I'm low... I already have some candy, but it doesn't improve. Rest a little and check your glucose levels again in an hour. If you're still low, please talk to your doctor. Okay, thank you.",I am ok,,I am low,low,,,,eat some candy,,Check again in an hour,I have a fade sensation,,,
"Hi. How are you? I'm okay, but recently I urinate a lot. I haven't thought about it until today that I was on the mountain and I couldn't go to the bathroom. That could be your glucose level. Have you checked it? Yes, now. I'm very high. If you're very high, you should inject an additional insulin dose. Ok, I'll. I don't know why I'm so high. Be careful with your diet. Ok, I'll.",I am okay,,I am very high,high,,,,,inject an extra insulin dose,,,I urinate a lot,,
"until later. <SOS> I need your help. what's the thing? I forgot to put my insulin after lunch and now I have a high sugar content. don't worry, you can put your insulin now and it will reduce. how much insulin should I put? calculate your insulin dose considering when you ate and your actual sugar content. ok I'll do that. You should also consider if you did some exercise today. no I was at home all day. maybe you should do some exercise, it will also help to lower your blood sugar. perfect I'll go to do some running now. see. <EOS> <EOS>.",,running,i have a high sugar level,high,i forgot to put my insulin after lunch,how much insulin should i put ? calculate your insulin dose taking into account when did you eat and your actual sugar level . ok i will do that . you should also consider if you did some exercise today,,,,,,,forgot to put my insulin,
"Hello, I need help. I feel bad. What do you feel? I feel dizzy. Since when? It started two hours ago. I didn't have breakfast this morning and maybe it was. The lack of food could drop your glucose levels. Have you checked it? Yes, I'm low and I ate sugar twenty minutes ago. It hasn't improved. Maybe you haven't taken the right amount. Wait an hour and check your glucose levels. If they're still low, talk to your doctor.",i feel bad,,i am low,low,,,,,,wait an hour and recheck your glucose levels,,,i didn't have breakfast,
"Hello, what's going on? I could be better. How are your glucose levels? I'm very low. Do you have any symptoms? Yes, I feel bad and I go to the bathroom very often. Oh, that's not good. Drink or eat something sweet. Yes, I just drank a juice and I ate a piece of bread. Ok. Rest a little and your glucose level will improve.",i could be better,,I am very low,low,,,,I just drank a juice and i ate a slice of bread ,,,I feel nauseous and i go to the bathroom very often,,,
"Good morning. Hello, how are you? I feel bad. My glucose levels are very low. Have you eaten something today? No, everything since last night. Oh. Be careful not to eat for so many hours could lower your blood sugar. I didn't know... I'm still new in this diabetic world. What should I eat? Some bread with cheese will be fine, it will help increase your glucose levels. Oh, thank you. I have to go. Have a nice Saturday. You too.",I feel bad ,,My glucose levels are very low,low,,,,eat ? Some bread with cheese,,,,,not eating for so many hours could low your blood sugar ,
"Hello! I need help. Hello! How are you? I don't feel okay. My glucose levels are low. Have you eaten something? Not yet, I don't know what to eat as a snack. Maybe some blueberries or some popcorn. They are healthy. But first, drink a juice to increase your level faster. Okay. Thanks for the tips.",,,,,,,,,,,,,,
"Hello, my glucose levels are pretty low... I have heavy legs and I don't feel okay. Don't worry... Have you eaten anything? Yes, I took a fructose pill. That should help. Yes, I hope so. Check your glucose levels again in an hour. Okay, I'll. Thanks. No problem.",i don't feel okay,,are quite low,low,,,,fructose pill,,check your glucose levels again in one hour,i have heavy legs,,,
"Hello! How are you? I'm okay. I just finished my crossfit class. Yes? And how was it? Great! But now I feel a little dizzy. Maybe your glucose levels are a little low after your workout. Check them. You're right, my blood sugar is low. Drink a soda or something sweet, you'll feel better. Okay, thank you. Talk later.",I am okay,crossfit class,my blood sugar is low,low,,,,Drink a soda or eat something sweet,,,I feel a little dizzy,,after your training,
"Hi, how are you? I'm fine. I haven't been better. How are your glucose levels? I'm very low. How do you know? I had visual disorders and cold sweat and when I checked my glucose levels were very low. I ate some candy and I think it will improve. Check your glucose levels in an hour. Yes! And what will you do during the morning? I need to learn. Will you get some exercise? Yes, I will play a paddle game. Thanks.",i'm fine . i haven't been better .,play a paddle match,my glucose levels were very low,low,,,,I ate some sweets,,Check your glucose levels in an hour ,I had vision disturbances and cold sweat,,,
"Hello, it's been a while since I talked to you. Yes, how are you? I'm very good, thank you. How are your glucose levels? My blood sugar is more controlled. That's wonderful! It's thanks to your advice. Oh! I'm happy to hear that. Thank you. I have to go, have a nice day. You too, goodbye.",I am very good,,My blood sugar is rather controlled,controlled,,,,,,,,,,
"Hi, how are you feeling today? I'm fine. Last night I went to a concert. I drank some bears and eat pizza. How's your blood sugar? It's a little high. I injected an extra dose of insulin twenty minutes ago. Ok, check your readings again in an hour or so. Okay, I'll. Bye.",i'm alright,,It is bit high,high,,,I drank some bears and eat pizza,,I injected an extra dose of insulin twenty minutes ago,check your levels again in an hour or so,,,,
<SOS> how are you? <SOS> I'm good. what did you do today? I went to the gym. does the sport affect your glucose? yes my sugar level was low. did you inject too much insulin? no I didn't eat enough. next time eat a banana. yes I will. <EOS>.,good,gym,my sugar level was low,low,,,,,,,,,i didn't eat enough,
